Timestamp,Voltage (V),Current (A),Power Consumption (kW),Reactive Power (kVAR),Power Factor,Solar Power (kW),Wind Power (kW),Grid Supply (kW),Voltage Fluctuation (%),Overload Condition,Transformer Fault,Temperature (°C),Humidity (%),Electricity Price (USD/kWh),Predicted Load (kW)
2024-01-01 05:00:00,237.32824384460775,30.454637914998308,7.2277457332899555,2.7161910672751124,0.8677105631246226,1.8321317152982688,2.767822246913612,2.627791771078076,0.4693528630534205,0,0,34.58373786043252,62.51083658156109,0.4048100075271466,7.488723095560546
2024-01-01 17:30:00,231.80697802754207,23.02110002332782,5.3364516272774,2.085040151313881,0.81715880843457,1.57637247410084,2.1235376773547285,1.6365414758218315,0.1136074787522005,0,0,11.622249481220534,71.81123119866066,0.3707870283446857,5.129394782480432
2024-01-02 03:30:00,220.4061439235048,26.950333218018507,5.940019022036999,1.330227453824354,0.9520674503997428,0.5513492839605949,1.309101936709689,4.079567801366715,-2.771195251070404,0,0,15.857390036013944,58.802271036687785,0.2103777441506993,5.645475174240563
2024-01-03 14:00:00,238.8272712014055,40.02191175677326,9.558323973133604,2.693400482653764,0.8171207137200701,1.8782340254561103,6.913953480461687,0.7661364672158086,-4.8853002452923615,0,0,39.95686711476051,32.233312793776335,0.2247056595597031,9.71631638413075
2024-01-03 17:45:00,224.87806179332856,43.466398955839054,9.774639550324643,1.0819951946168738,0.9977581948512604,33.43348575415598,16.097542296077542,0.0,4.941301314391172,0,1,16.06503731384237,43.87525154285619,0.2004265842994764,9.48481074445723
2024-01-04 07:45:00,229.3492847281616,32.80527355393562,7.523866024906809,1.360061451187832,0.8221439232263623,5.692179310161233,0.3570194815089567,1.4746672332366195,-3.879481776728568,0,0,37.13171332774016,65.9801134301398,0.1337796206945494,7.389586614432542
2024-01-05 20:45:00,233.7875385502365,38.69173390499205,9.045645231888823,3.445682462453855,0.8026904297001332,7.181410513485642,25.90567548656295,0.0,1.9295743715913536,0,1,30.86368425873165,21.722960221626103,0.2308292273067642,9.243339420519437
2024-01-06 05:30:00,223.0071621309043,46.11859249445749,10.284776433660587,4.087304974470401,0.921949303073884,43.087182024133526,1.5873024641589806,0.0,-0.2079823137416303,1,1,14.904696929202697,61.693383841936246,0.2463789531306273,10.741794004461427
2024-01-07 03:30:00,230.35783118609697,19.56892927925482,4.507856107403252,1.3661094783634071,0.8283540289294676,1.1651467527080628,2.60912000715798,0.7335893475372091,-2.88312507051234,0,0,33.85917952844089,41.33217130248501,0.1333162058488247,4.339252555246579
2024-01-07 05:00:00,228.65062532353315,40.89523142740285,9.350720238626266,1.1251603753300112,0.9069989122357616,18.214395292378065,6.027861615367386,0.0,2.3325663169731783,0,1,10.01045010396934,72.43223626191279,0.4830698013705155,9.075988687390511
